131950.0,455275.0,132450.0,456025.0,21,31
132000.0,455275.0,132500.0,456025.0,21,31
132050.0,455275.0,132550.0,456025.0,21,31
132075.0,455275.0,132575.0,456025.0,21,31
132100.0,455275.0,132600.0,456025.0,21,31
132125.0,455275.0,132625.0,456025.0,21,31
132150.0,455275.0,132650.0,456025.0,21,31
132175.0,455275.0,132675.0,456025.0,21,31
132200.0,455275.0,132700.0,456025.0,21,31
132275.0,455275.0,132775.0,456025.0,21,31
132300.0,455275.0,132800.0,456025.0,21,31
132325.0,455275.0,132825.0,456025.0,21,31
132350.0,455275.0,132850.0,456025.0,21,31
